iter	Passed	Remaining
0	57	57012
1	57	28795
2	58	19418
3	58	14678
4	59	11852
5	60	9970
6	61	8710
7	61	7669
8	62	6876
9	63	6237
10	63	5726
11	64	5280
12	64	4923
13	65	4614
14	66	4339
15	66	4103
16	67	3896
17	67	3690
18	68	3527
19	68	3370
20	69	3245
21	70	3117
22	70	3003
23	71	2898
24	71	2802
25	72	2713
26	72	2628
27	73	2546
28	73	2476
29	74	2403
30	74	2340
31	75	2285
32	76	2231
33	76	2178
34	77	2129
35	77	2084
36	78	2041
37	79	2003
38	79	1957
39	80	1923
40	80	1885
41	81	1851
42	81	1819
43	82	1792
44	83	1761
45	83	1733
46	84	1711
47	84	1684
48	85	1661
49	86	1636
50	86	1610
51	87	1589
52	87	1566
53	88	1544
54	88	1528
55	89	1509
56	89	1488
57	90	1468
58	90	1448
59	91	1429
60	91	1414
61	92	1404
62	93	1391
63	94	1378
64	95	1367
65	95	1354
66	96	1343
67	96	1329
68	98	1326
69	99	1316
70	100	1313
71	101	1303
72	101	1289
73	102	1279
74	102	1269
75	103	1256
76	103	1246
77	104	1236
78	105	1226
79	105	1216
80	106	1206
81	106	1196
82	107	1188
83	108	1179
84	108	1171
85	109	1164
86	110	1163
87	111	1157
88	112	1148
89	112	1141
90	113	1133
91	114	1126
92	114	1119
93	115	1112
94	115	1101
95	116	1095
96	116	1087
97	117	1081
98	117	1073
99	118	1067
100	119	1061
101	119	1056
102	120	1047
103	120	1041
104	121	1036
105	122	1030
106	122	1024
107	123	1018
108	123	1012
109	124	1006
110	125	1002
111	125	997
112	126	993
113	127	987
114	127	982
115	128	978
116	128	973
117	129	967
118	130	962
119	130	958
120	131	954
121	131	949
122	132	945
123	133	941
124	133	936
125	134	931
126	134	927
127	135	922
128	136	919
129	136	916
130	138	917
131	138	913
132	139	908
133	139	903
134	140	899
135	140	895
136	141	891
137	141	886
138	142	883
139	143	879
140	143	876
141	144	873
142	145	869
143	145	866
144	146	863
145	147	861
146	148	859
147	148	855
148	149	852
149	149	848
150	150	845
151	150	842
152	151	838
153	152	838
154	153	835
155	153	832
156	154	829
157	155	827
158	155	824
159	156	821
160	157	818
161	157	816
162	158	813
163	159	810
164	159	808
165	160	805
166	160	802
167	161	800
168	162	796
169	162	793
170	163	790
171	164	791
172	164	788
173	165	785
174	166	782
175	166	779
176	167	777
177	167	775
178	168	773
179	169	770
180	169	766
181	170	764
182	170	762
183	171	761
184	172	759
185	173	757
186	173	754
187	174	752
188	174	750
189	175	748
190	175	745
191	176	744
192	177	742
193	178	740
194	179	740
195	180	739
196	180	737
197	181	735
198	182	733
199	182	730
200	183	728
201	183	726
202	184	723
203	184	721
204	185	719
205	186	717
206	186	715
207	187	713
208	187	711
209	188	709
210	189	707
211	190	706
212	190	704
213	191	702
214	191	699
215	192	697
216	192	695
217	193	693
218	194	692
219	194	690
220	195	688
221	196	687
222	197	687
223	198	685
224	198	684
225	199	682
226	199	680
227	200	678
228	200	676
229	201	674
230	202	672
231	203	672
232	203	670
233	204	668
234	204	666
235	205	664
236	205	663
237	206	661
238	207	659
239	207	657
240	208	655
241	208	654
242	209	652
243	210	651
244	210	649
245	211	647
246	212	647
247	213	646
248	213	644
249	214	642
250	214	641
251	215	639
252	215	637
253	216	635
254	217	634
255	217	632
256	218	631
257	218	629
258	219	627
259	220	627
260	220	625
261	221	624
262	222	622
263	222	621
264	223	619
265	224	618
266	224	617
267	225	615
268	226	614
269	226	613
270	227	612
271	227	610
272	228	608
273	229	606
274	229	605
275	230	604
276	230	602
277	231	601
278	232	599
279	232	598
280	233	596
281	233	595
282	234	594
283	234	592
284	235	591
285	236	590
286	237	589
287	238	588
288	238	587
289	239	585
290	239	584
291	240	583
292	241	582
293	242	581
294	242	579
295	243	578
296	243	577
297	245	577
298	245	575
299	246	574
300	246	573
301	247	572
302	248	570
303	248	569
304	249	568
305	250	567
306	250	566
307	251	565
308	252	565
309	253	563
310	253	562
311	254	560
312	255	559
313	255	558
314	256	557
315	256	556
316	257	554
317	257	553
318	258	551
319	259	552
320	260	550
321	260	549
322	261	547
323	261	545
324	262	545
325	263	544
326	264	543
327	264	542
328	265	541
329	265	539
330	266	538
331	267	537
332	267	536
333	268	535
334	268	533
335	269	532
336	270	531
337	271	530
338	271	529
339	272	528
340	272	527
341	273	526
342	273	524
343	274	523
344	274	522
345	275	520
346	275	519
347	276	517
